date,state,race,state_name,population,Cases,Deaths,Hosp,Tests
2020-04-12,AL,Asian,Alabama,76660,37,missing,missing,missing
2020-04-12,AL,Black,Alabama,1296162,1279,missing,missing,missing
2020-04-12,AL,Other,Alabama,137443,66,missing,missing,missing
2020-04-12,AL,Total,Alabama,5288326,3582,missing,missing,missing
2020-04-12,AL,White,Alabama,3220452,1657,missing,missing,missing
2020-04-12,AR,AIAN,Arkansas,27177,4,missing,missing,missing
2020-04-12,AR,Asian,Arkansas,51839,20,missing,missing,missing
2020-04-12,AR,Black,Arkansas,453783,324,missing,missing,missing
2020-04-12,AR,Multiracial,Arkansas,213575,3,missing,missing,missing
2020-04-12,AR,NHPI,Arkansas,14533,3,missing,missing,missing
2020-04-12,AR,Other,Arkansas,136105,35,missing,missing,missing
2020-04-12,AR,Total,Arkansas,3268371,1280,missing,missing,missing
2020-04-12,AR,White,Arkansas,2114512,814,missing,missing,missing
2020-04-12,AZ,AIAN,Arizona,319512,223,18,missing,missing
2020-04-12,AZ,Asian,Arizona,257430,61,3,missing,missing
2020-04-12,AZ,Black,Arizona,339150,65,2,missing,missing
2020-04-12,AZ,Latinx,Arizona,2192253,286,8,missing,missing
2020-04-12,AZ,Other,Arizona,899870,27,missing,missing,missing
2020-04-12,AZ,Total,Arizona,9343755,3539,114,missing,missing
2020-04-12,AZ,White,Arizona,4322337,661,28,missing,missing
2020-04-12,CA,AIAN,California,631016,27,2,missing,missing
2020-04-12,CA,Asian,California,6085947,1756,92,missing,missing
2020-04-12,CA,Black,California,2237044,945,54,missing,missing
2020-04-12,CA,Latinx,California,15579652,4729,147,missing,missing
2020-04-12,CA,NHPI,California,157263,270,4,missing,missing
2020-04-12,CA,Other,California,8370596,1216,10,missing,missing
2020-04-12,CA,Total,California,55117875,21794,651,missing,missing
2020-04-12,CA,White,California,16296122,4323,224,missing,missing
2020-04-12,CT,Asian,Connecticut,172455,124,6,missing,missing
2020-04-12,CT,Black,Connecticut,388675,993,65,missing,missing
2020-04-12,CT,Latinx,Connecticut,623293,1277,45,missing,missing
2020-04-12,CT,Other,Connecticut,299133,73,6,missing,missing
2020-04-12,CT,Total,Connecticut,4229237,11510,494,missing,missing
2020-04-12,CT,White,Connecticut,2395128,3030,343,missing,missing
2020-04-12,DC,Asian,District of Columbia,33545,26,2,missing,missing
2020-04-12,DC,Black,District of Columbia,285810,852,36,missing,missing
2020-04-12,DC,Latinx,District of Columbia,77652,missing,6,missing,missing
2020-04-12,DC,Multiracial,District of Columbia,56077,242,missing,missing,missing
2020-04-12,DC,NHPI,District of Columbia,432,6,missing,missing,missing
2020-04-12,DC,Total,District of Columbia,767197,1874,50,missing,missing
2020-04-12,DC,White,District of Columbia,273194,354,6,missing,missing
2020-04-12,DE,Other,Delaware,48509,missing,19,missing,missing
2020-04-12,DE,Total,Delaware,1094238,missing,35,missing,missing
2020-04-12,DE,White,Delaware,597763,missing,16,missing,missing
2020-04-12,GA,AIAN,Georgia,50618,9,missing,missing,missing
2020-04-12,GA,Asian,Georgia,479028,86,missing,missing,missing
2020-04-12,GA,Black,Georgia,3320513,2723,missing,missing,missing
2020-04-12,GA,Latinx,Georgia,1123457,372,missing,missing,missing
2020-04-12,GA,Multiracial,Georgia,743908,3,missing,missing,missing
2020-04-12,GA,NHPI,Georgia,7299,6,missing,missing,missing
2020-04-12,GA,Other,Georgia,555059,64,missing,missing,missing
2020-04-12,GA,Total,Georgia,11835365,12922,missing,missing,missing
2020-04-12,GA,White,Georgia,5555483,1887,missing,missing,missing
2020-04-12,IL,AIAN,Illinois,96498,24,2,missing,106
2020-04-12,IL,Asian,Illinois,754878,691,27,missing,2780
2020-04-12,IL,Black,Illinois,1808271,5458,308,missing,18691
2020-04-12,IL,Latinx,Illinois,2337410,2513,70,missing,6932
2020-04-12,IL,Multiracial,Illinois,1144984,missing,missing,missing,0
2020-04-12,IL,NHPI,Illinois,4501,28,1,missing,90
2020-04-12,IL,Other,Illinois,1135149,988,12,missing,5851
2020-04-12,IL,Total,Illinois,15149918,20852,720,missing,121587
2020-04-12,IL,White,Illinois,7868227,5214,259,missing,28794
2020-04-12,IN,Asian,Indiana,167959,55,1,missing,missing
2020-04-12,IN,Black,Indiana,648513,1331,68,missing,missing
2020-04-12,IN,Other,Indiana,261312,919,24,missing,missing
2020-04-12,IN,Total,Indiana,7339719,7928,343,missing,missing
2020-04-12,IN,White,Indiana,5241795,3734,219,missing,missing
2020-04-12,KY,AIAN,Kentucky,12801,1,missing,missing,missing
2020-04-12,KY,Asian,Kentucky,74426,34,2,missing,missing
2020-04-12,KY,Black,Kentucky,362417,159,342,missing,missing
2020-04-12,KY,Multiracial,Kentucky,244840,54,missing,missing,missing
2020-04-12,KY,Total,Kentucky,4713690,1959,1942,missing,missing
2020-04-12,KY,White,Kentucky,3711254,1123,1225,missing,missing
2020-04-12,MA,Asian,Massachusetts,507934,331,13,missing,missing
2020-04-12,MA,Black,Massachusetts,494029,1358,20,missing,missing
2020-04-12,MA,Latinx,Massachusetts,887685,1885,28,missing,missing
2020-04-12,MA,Other,Massachusetts,496731,733,16,missing,missing
2020-04-12,MA,Total,Massachusetts,7917602,25475,756,missing,missing
2020-04-12,MA,White,Massachusetts,4896037,4271,199,missing,missing
2020-04-12,MD,Asian,Maryland,420944,190,8,missing,missing
2020-04-12,MD,Black,Maryland,1820472,3200,104,missing,missing
2020-04-12,MD,Other,Maryland,410941,861,12,missing,missing
2020-04-12,MD,Total,Maryland,6906969,8251,235,missing,missing
2020-04-12,MD,White,Maryland,3007874,2300,83,missing,missing
2020-04-12,MI,AIAN,Michigan,61261,246,missing,missing,missing
2020-04-12,MI,Asian,Michigan,334300,246,14,missing,missing
2020-04-12,MI,Black,Michigan,1376579,8130,594,missing,missing
2020-04-12,MI,Multiracial,Michigan,635315,985,14,missing,missing
2020-04-12,MI,Other,Michigan,221851,739,29,missing,missing
2020-04-12,MI,Total,Michigan,10641753,24635,1483,missing,missing
2020-04-12,MI,White,Michigan,7444974,6652,535,missing,missing
2020-04-12,MN,AIAN,Minnesota,68641,16,missing,missing,missing
2020-04-12,MN,Asian,Minnesota,299190,64,1,missing,missing
2020-04-12,MN,Black,Minnesota,398434,145,1,missing,missing
2020-04-12,MN,NHPI,Minnesota,2918,8,1,missing,missing
2020-04-12,MN,Other,Minnesota,168444,48,missing,missing,missing
2020-04-12,MN,Total,Minnesota,6052134,1642,70,missing,missing
2020-04-12,MN,White,Minnesota,4423146,1086,58,missing,missing
2020-04-12,MO,Black,Missouri,699840,1123,28,missing,missing
2020-04-12,MO,Multiracial,Missouri,413171,166,2,missing,missing
2020-04-12,MO,Other,Missouri,127942,83,2,missing,missing
2020-04-12,MO,Total,Missouri,6457981,4158,108,missing,missing
2020-04-12,MO,White,Missouri,4740335,1414,37,missing,missing
2020-04-12,MS,Black,Mississippi,1084481,1529,63,missing,missing
2020-04-12,MS,Other,Mississippi,56860,250,missing,missing,missing
2020-04-12,MS,Total,Mississippi,3066499,2780,95,missing,missing
2020-04-12,MS,White,Mississippi,1658893,1001,32,missing,missing
2020-04-12,MT,AIAN,Montana,67612,13,missing,missing,missing
2020-04-12,MT,Asian,Montana,8300,1,missing,missing,missing
2020-04-12,MT,Black,Montana,5484,1,missing,missing,missing
2020-04-12,MT,Other,Montana,14089,1,missing,missing,missing
2020-04-12,MT,Total,Montana,1129424,387,missing,missing,missing
2020-04-12,MT,White,Montana,916524,305,missing,missing,missing
2020-04-12,NC,AIAN,North Carolina,130032,16,missing,missing,missing
2020-04-12,NC,Asian,North Carolina,343051,54,1,missing,missing
2020-04-12,NC,Black,North Carolina,2140217,1245,29,missing,missing
2020-04-12,NC,NHPI,North Carolina,8518,8,missing,missing,missing
2020-04-12,NC,Other,North Carolina,617390,114,missing,missing,missing
2020-04-12,NC,Total,North Carolina,11557984,4520,81,missing,missing
2020-04-12,NC,White,North Carolina,6488459,1768,46,missing,missing
2020-04-12,NJ,Asian,New Jersey,950090,missing,36,missing,missing
2020-04-12,NJ,Black,New Jersey,1219770,missing,175,missing,missing
2020-04-12,NJ,Other,New Jersey,1048641,missing,80,missing,missing
2020-04-12,NJ,Total,New Jersey,11291569,missing,726,missing,missing
2020-04-12,NJ,White,New Jersey,5112280,missing,435,missing,missing
2020-04-12,NY,Asian,New York,1933127,missing,576,missing,missing
2020-04-12,NY,Black,New York,2986172,missing,2333,missing,missing
2020-04-12,NY,Other,New York,2210633,missing,374,missing,missing
2020-04-12,NY,Total,New York,24149281,missing,6723,missing,missing
2020-04-12,NY,White,New York,11143349,missing,3440,missing,missing
2020-04-12,OH,AIAN,Ohio,30720,4,missing,missing,missing
2020-04-12,OH,Asian,Ohio,298509,124,missing,missing,missing
2020-04-12,OH,Black,Ohio,1478781,1328,33,missing,missing
2020-04-12,OH,Multiracial,Ohio,681372,137,4,missing,missing
2020-04-12,OH,NHPI,Ohio,5034,2,missing,missing,missing
2020-04-12,OH,Other,Ohio,224344,226,3,missing,missing
2020-04-12,OH,Total,Ohio,12320756,6604,253,missing,missing
2020-04-12,OH,White,Ohio,9080688,3524,161,missing,missing
2020-04-12,SC,Black,South Carolina,1280531,780,28,missing,missing
2020-04-12,SC,Other,South Carolina,177876,61,missing,missing,missing
2020-04-12,SC,Total,South Carolina,5471263,2010,61,missing,missing
2020-04-12,SC,White,South Carolina,3243442,1108,25,missing,missing
2020-04-12,TN,Asian,Tennessee,135615,73,missing,missing,missing
2020-04-12,TN,Black,Tennessee,1092948,922,missing,missing,missing
2020-04-12,TN,Other,Tennessee,246282,266,missing,missing,missing
2020-04-12,TN,Total,Tennessee,7390027,5308,missing,missing,missing
2020-04-12,TN,White,Tennessee,4990938,2504,missing,missing,missing
2020-04-12,TX,Asian,Texas,1585480,91,missing,missing,missing
2020-04-12,TX,Black,Texas,3552997,223,missing,missing,missing
2020-04-12,TX,Latinx,Texas,11441717,518,missing,missing,missing
2020-04-12,TX,Other,Texas,3951366,15,missing,missing,missing
2020-04-12,TX,Total,Texas,40587222,2021,missing,missing,missing
2020-04-12,TX,White,Texas,14609365,787,missing,missing,missing
2020-04-12,VA,Black,Virginia,1607581,841,missing,missing,missing
2020-04-12,VA,Other,Virginia,446650,503,missing,missing,missing
2020-04-12,VA,Total,Virginia,9540142,5274,missing,missing,missing
2020-04-12,VA,White,Virginia,5208856,1528,missing,missing,missing
2020-04-12,WA,AIAN,Washington,121468,41,5,missing,missing
2020-04-12,WA,Asian,Washington,730596,451,36,missing,missing
2020-04-12,WA,Black,Washington,307565,289,9,missing,missing
2020-04-12,WA,Latinx,Washington,1059213,1180,24,missing,missing
2020-04-12,WA,Multiracial,Washington,836659,112,3,missing,missing
2020-04-12,WA,NHPI,Washington,64933,61,1,missing,missing
2020-04-12,WA,Other,Washington,513140,104,7,missing,missing
2020-04-12,WA,Total,Washington,8764494,10411,508,missing,missing
2020-04-12,WA,White,Washington,5130920,2903,290,missing,missing
2020-04-12,WI,AIAN,Wisconsin,60428,28,1,missing,missing
2020-04-12,WI,Asian,Wisconsin,175702,81,4,missing,missing
2020-04-12,WI,Black,Wisconsin,376256,857,61,missing,missing
2020-04-12,WI,Multiracial,Wisconsin,359534,missing,0,missing,missing
2020-04-12,WI,Other,Wisconsin,182054,74,0,missing,missing
2020-04-12,WI,Total,Wisconsin,6341008,3341,144,missing,missing
2020-04-12,WI,White,Wisconsin,4737545,1680,77,missing,missing
2020-04-15,AK,AIAN,Alaska,111575,13,2,missing,missing
2020-04-15,AK,Asian,Alaska,44032,25,2,missing,missing
2020-04-15,AK,Black,Alaska,21898,4,0,missing,missing
2020-04-15,AK,Multiracial,Alaska,89524,6,0,missing,missing
2020-04-15,AK,NHPI,Alaska,12698,3,1,missing,missing
2020-04-15,AK,Other,Alaska,18272,3,0,missing,missing
2020-04-15,AK,Total,Alaska,783215,293,9,missing,missing
2020-04-15,AK,White,Alaska,435392,133,2,missing,missing
2020-04-15,AL,Asian,Alabama,76660,41,3,missing,missing
2020-04-15,AL,Black,Alabama,1296162,1594,43,missing,missing
2020-04-15,AL,Other,Alabama,137443,85,missing,missing,missing
2020-04-15,AL,Total,Alabama,5288326,4241,82,missing,missing
2020-04-15,AL,White,Alabama,3220452,1996,34,missing,missing
2020-04-15,AR,AIAN,Arkansas,27177,4,missing,missing,missing
2020-04-15,AR,Asian,Arkansas,51839,21,missing,missing,missing
2020-04-15,AR,Black,Arkansas,453783,441,missing,missing,missing
2020-04-15,AR,Multiracial,Arkansas,213575,5,missing,missing,missing
2020-04-15,AR,NHPI,Arkansas,14533,5,missing,missing,missing
2020-04-15,AR,Other,Arkansas,136105,45,missing,missing,missing
2020-04-15,AR,Total,Arkansas,3268371,1569,missing,missing,missing
2020-04-15,AR,White,Arkansas,2114512,945,missing,missing,missing
2020-04-15,AZ,AIAN,Arizona,319512,266,29,missing,missing
2020-04-15,AZ,Asian,Arizona,257430,67,2,missing,missing
2020-04-15,AZ,Black,Arizona,339150,81,5,missing,missing
2020-04-15,AZ,Latinx,Arizona,2192253,366,15,missing,missing
2020-04-15,AZ,Other,Arizona,899870,34,missing,missing,missing
2020-04-15,AZ,Total,Arizona,9343755,3962,142,missing,missing
2020-04-15,AZ,White,Arizona,4322337,785,55,missing,missing
2020-04-15,CA,AIAN,California,631016,31,2,missing,missing
2020-04-15,CA,Asian,California,6085947,2063,104,missing,missing
2020-04-15,CA,Black,California,2237044,1111,85,missing,missing
2020-04-15,CA,Latinx,California,15579652,5873,214,missing,missing
2020-04-15,CA,Multiracial,California,5760235,317,missing,missing,missing
2020-04-15,CA,NHPI,California,157263,317,6,missing,missing
2020-04-15,CA,Other,California,8370596,1270,13,missing,missing
2020-04-15,CA,Total,California,55117875,24424,821,missing,missing
2020-04-15,CA,White,California,16296122,4921,278,missing,missing
2020-04-15,CO,AIAN,Colorado,74129,40,2,missing,missing
2020-04-15,CO,Asian,Colorado,199827,214,10,missing,missing
2020-04-15,CO,Black,Colorado,234828,582,25,missing,missing
2020-04-15,CO,Latinx,Colorado,1263390,2441,63,missing,missing
2020-04-15,CO,Multiracial,Colorado,707670,13,3,missing,missing
2020-04-15,CO,NHPI,Colorado,10287,43,4,missing,missing
2020-04-15,CO,Other,Colorado,464046,86,missing,missing,missing
2020-04-15,CO,Total,Colorado,7037104,8280,357,missing,missing
2020-04-15,CO,White,Colorado,4082927,4738,247,missing,missing
2020-04-15,CT,Asian,Connecticut,172455,144,9,missing,missing
2020-04-15,CT,Black,Connecticut,388675,1145,85,missing,missing
2020-04-15,CT,Latinx,Connecticut,623293,1447,58,missing,missing
2020-04-15,CT,Other,Connecticut,299133,85,9,missing,missing
2020-04-15,CT,Total,Connecticut,4229237,13381,602,missing,missing
2020-04-15,CT,White,Connecticut,2395128,3419,409,missing,missing
2020-04-15,DC,AIAN,District of Columbia,3193,7,missing,missing,missing
2020-04-15,DC,Asian,District of Columbia,33545,31,2,missing,missing
2020-04-15,DC,Black,District of Columbia,285810,1009,54,missing,missing
2020-04-15,DC,Latinx,District of Columbia,77652,missing,8,missing,missing
2020-04-15,DC,Multiracial,District of Columbia,56077,300,missing,missing,missing
2020-04-15,DC,NHPI,District of Columbia,432,2,missing,missing,missing
2020-04-15,DC,Total,District of Columbia,767197,2197,72,missing,missing
2020-04-15,DC,White,District of Columbia,273194,411,8,missing,missing
2020-04-15,DE,Other,Delaware,48509,missing,19,missing,missing
2020-04-15,DE,Total,Delaware,1094238,missing,35,missing,missing
2020-04-15,DE,White,Delaware,597763,missing,16,missing,missing
2020-04-15,GA,AIAN,Georgia,50618,12,1,missing,missing
2020-04-15,GA,Asian,Georgia,479028,131,8,missing,missing
2020-04-15,GA,Black,Georgia,3320513,3659,297,missing,missing
2020-04-15,GA,Latinx,Georgia,1123457,568,20,missing,missing
2020-04-15,GA,Multiracial,Georgia,743908,0,0,missing,missing
2020-04-15,GA,NHPI,Georgia,7299,8,0,missing,missing
2020-04-15,GA,Other,Georgia,555059,29,1,missing,missing
2020-04-15,GA,Total,Georgia,11835365,15828,596,missing,missing
2020-04-15,GA,White,Georgia,5555483,2433,205,missing,missing
2020-04-15,IA,Asian,Iowa,75629,65,missing,missing,missing
2020-04-15,IA,Black,Iowa,131972,183,missing,missing,missing
2020-04-15,IA,Other,Iowa,88720,29,missing,missing,missing
2020-04-15,IA,Total,Iowa,3406355,2337,missing,missing,missing
2020-04-15,IA,White,Iowa,2694521,1492,missing,missing,missing
2020-04-15,IL,AIAN,Illinois,96498,34,1,missing,129
2020-04-15,IL,Asian,Illinois,754878,847,33,missing,3272
2020-04-15,IL,Black,Illinois,1808271,6331,397,missing,21835
2020-04-15,IL,Latinx,Illinois,2337410,3357,89,missing,9046
2020-04-15,IL,Multiracial,Illinois,1144984,missing,missing,missing,0
2020-04-15,IL,NHPI,Illinois,4501,33,2,missing,103
2020-04-15,IL,Other,Illinois,1135149,1117,16,missing,6772
2020-04-15,IL,Total,Illinois,15149918,24593,948,missing,141522
2020-04-15,IL,White,Illinois,7868227,6127,355,missing,33474
2020-04-15,IN,Asian,Indiana,167959,71,2,missing,missing
2020-04-15,IN,Black,Indiana,648513,1576,91,missing,missing
2020-04-15,IN,Other,Indiana,261312,1137,34,missing,missing
2020-04-15,IN,Total,Indiana,7339719,8953,439,missing,missing
2020-04-15,IN,White,Indiana,5241795,4468,280,missing,missing
2020-04-15,KY,AIAN,Kentucky,12801,1,missing,missing,missing
2020-04-15,KY,Asian,Kentucky,74426,43,1,missing,missing
2020-04-15,KY,Black,Kentucky,362417,194,22,missing,missing
2020-04-15,KY,Multiracial,Kentucky,244840,82,missing,missing,missing
2020-04-15,KY,Total,Kentucky,4713690,2291,122,missing,missing
2020-04-15,KY,White,Kentucky,3711254,1348,77,missing,missing
2020-04-15,LA,Asian,Louisiana,86438,missing,9,missing,missing
2020-04-15,LA,Black,Louisiana,1464023,missing,653,missing,missing
2020-04-15,LA,NHPI,Louisiana,1911,missing,1,missing,missing
2020-04-15,LA,Other,Louisiana,142699,missing,7,missing,missing
2020-04-15,LA,Total,Louisiana,4980306,missing,1103,missing,missing
2020-04-15,LA,White,Louisiana,2657652,missing,333,missing,missing
2020-04-15,MA,Asian,Massachusetts,507934,397,16,missing,missing
2020-04-15,MA,Black,Massachusetts,494029,1749,40,missing,missing
2020-04-15,MA,Latinx,Massachusetts,887685,2537,50,missing,missing
2020-04-15,MA,Other,Massachusetts,496731,916,21,missing,missing
2020-04-15,MA,Total,Massachusetts,7917602,29918,1108,missing,missing
2020-04-15,MA,White,Massachusetts,4896037,5437,306,missing,missing
2020-04-15,MD,Asian,Maryland,420944,230,10,missing,missing
2020-04-15,MD,Black,Maryland,1820472,3724,139,missing,missing
2020-04-15,MD,Latinx,Maryland,729745,1075,13,missing,missing
2020-04-15,MD,Other,Maryland,410941,357,7,missing,missing
2020-04-15,MD,Total,Maryland,6906969,10032,349,missing,missing
2020-04-15,MD,White,Maryland,3007874,2425,109,missing,missing
2020-04-15,MI,AIAN,Michigan,61261,280,missing,missing,missing
2020-04-15,MI,Asian,Michigan,334300,280,19,missing,missing
2020-04-15,MI,Black,Michigan,1376579,9259,768,missing,missing
2020-04-15,MI,Multiracial,Michigan,635315,1402,38,missing,missing
2020-04-15,MI,Other,Michigan,221851,841,38,missing,missing
2020-04-15,MI,Total,Michigan,10641753,28059,1921,missing,missing
2020-04-15,MI,White,Michigan,7444974,7856,768,missing,missing
2020-04-15,MN,AIAN,Minnesota,68641,18,1,missing,missing
2020-04-15,MN,Asian,Minnesota,299190,72,1,missing,missing
2020-04-15,MN,Black,Minnesota,398434,180,1,missing,missing
2020-04-15,MN,NHPI,Minnesota,2918,8,missing,missing,missing
2020-04-15,MN,Other,Minnesota,168444,36,missing,missing,missing
2020-04-15,MN,Total,Minnesota,6052134,1815,86,missing,missing
2020-04-15,MN,White,Minnesota,4423146,1212,73,missing,missing
2020-04-15,MO,Black,Missouri,699840,1419,48,missing,missing
2020-04-15,MO,Multiracial,Missouri,413171,146,1,missing,missing
2020-04-15,MO,Other,Missouri,127942,97,2,missing,missing
2020-04-15,MO,Total,Missouri,6457981,4895,147,missing,missing
2020-04-15,MO,White,Missouri,4740335,1762,54,missing,missing
2020-04-15,MS,Black,Mississippi,1084481,1881,63,missing,missing
2020-04-15,MS,Other,Mississippi,56860,236,missing,missing,missing
2020-04-15,MS,Total,Mississippi,3066499,3360,96,missing,missing
2020-04-15,MS,White,Mississippi,1658893,1243,32,missing,missing
2020-04-15,MT,AIAN,Montana,67612,14,missing,missing,missing
2020-04-15,MT,Asian,Montana,8300,1,missing,missing,missing
2020-04-15,MT,Black,Montana,5484,1,missing,missing,missing
2020-04-15,MT,Other,Montana,14089,1,missing,missing,missing
2020-04-15,MT,Total,Montana,1129424,404,missing,missing,missing
2020-04-15,MT,White,Montana,916524,319,missing,missing,missing
2020-04-15,NC,AIAN,North Carolina,130032,19,missing,missing,missing
2020-04-15,NC,Asian,North Carolina,343051,71,1,missing,missing
2020-04-15,NC,Black,North Carolina,2140217,1507,40,missing,missing
2020-04-15,NC,NHPI,North Carolina,8518,10,missing,missing,missing
2020-04-15,NC,Other,North Carolina,617390,148,3,missing,missing
2020-04-15,NC,Total,North Carolina,11557984,5123,117,missing,missing
2020-04-15,NC,White,North Carolina,6488459,2177,62,missing,missing
2020-04-15,NJ,Asian,New Jersey,950090,missing,36,missing,missing
2020-04-15,NJ,Black,New Jersey,1219770,missing,175,missing,missing
2020-04-15,NJ,Other,New Jersey,1048641,missing,80,missing,missing
2020-04-15,NJ,Total,New Jersey,11291569,missing,726,missing,missing
2020-04-15,NJ,White,New Jersey,5112280,missing,435,missing,missing
2020-04-15,NM,AIAN,New Mexico,212241,544,missing,missing,missing
2020-04-15,NM,Asian,New Mexico,37469,25,missing,missing,missing
2020-04-15,NM,Black,New Mexico,45904,46,missing,missing,missing
2020-04-15,NM,Latinx,New Mexico,1010811,382,missing,missing,missing
2020-04-15,NM,Total,New Mexico,3128333,1467,missing,missing,missing
2020-04-15,NM,White,New Mexico,1078937,348,missing,missing,missing
2020-04-15,NY,Asian,New York,1933127,missing,457,missing,missing
2020-04-15,NY,Black,New York,2986172,missing,1862,missing,missing
2020-04-15,NY,Latinx,New York,3948032,missing,2091,missing,missing
2020-04-15,NY,Other,New York,2210633,missing,304,missing,missing
2020-04-15,NY,Total,New York,24149281,missing,10578,missing,missing
2020-04-15,NY,White,New York,11143349,missing,2824,missing,missing
2020-04-15,OH,AIAN,Ohio,30720,4,missing,missing,missing
2020-04-15,OH,Asian,Ohio,298509,141,1,missing,missing
2020-04-15,OH,Black,Ohio,1478781,1598,48,missing,missing
2020-04-15,OH,Multiracial,Ohio,681372,210,6,missing,missing
2020-04-15,OH,NHPI,Ohio,5034,3,missing,missing,missing
2020-04-15,OH,Other,Ohio,224344,324,6,missing,missing
2020-04-15,OH,Total,Ohio,12320756,7791,361,missing,missing
2020-04-15,OH,White,Ohio,9080688,4198,261,missing,missing
2020-04-15,SC,Black,South Carolina,1280531,1265,45,missing,missing
2020-04-15,SC,Other,South Carolina,177876,153,missing,missing,missing
2020-04-15,SC,Total,South Carolina,5471263,3114,91,missing,missing
2020-04-15,SC,White,South Carolina,3243442,1573,36,missing,missing
2020-04-15,TN,Asian,Tennessee,135615,88,missing,missing,missing
2020-04-15,TN,Black,Tennessee,1092948,1218,missing,missing,missing
2020-04-15,TN,Other,Tennessee,246282,350,missing,missing,missing
2020-04-15,TN,Total,Tennessee,7390027,6079,missing,missing,missing
2020-04-15,TN,White,Tennessee,4990938,2972,missing,missing,missing
2020-04-15,TX,Asian,Texas,1585480,98,missing,missing,missing
2020-04-15,TX,Black,Texas,3552997,250,missing,missing,missing
2020-04-15,TX,Latinx,Texas,11441717,552,missing,missing,missing
2020-04-15,TX,Other,Texas,3951366,16,missing,missing,missing
2020-04-15,TX,Total,Texas,40587222,2182,missing,missing,missing
2020-04-15,TX,White,Texas,14609365,838,missing,missing,missing
2020-04-15,VA,Black,Virginia,1607581,1278,missing,missing,missing
2020-04-15,VA,Other,Virginia,446650,788,missing,missing,missing
2020-04-15,VA,Total,Virginia,9540142,6889,missing,missing,missing
2020-04-15,VA,White,Virginia,5208856,2214,missing,missing,missing
2020-04-15,WA,AIAN,Washington,121468,84,5,missing,missing
2020-04-15,WA,Asian,Washington,730596,601,54,missing,missing
2020-04-15,WA,Black,Washington,307565,400,15,missing,missing
2020-04-15,WA,Latinx,Washington,1059213,1532,33,missing,missing
2020-04-15,WA,Multiracial,Washington,836659,1,6,missing,missing
2020-04-15,WA,NHPI,Washington,64933,78,2,missing,missing
2020-04-15,WA,Other,Washington,513140,113,10,missing,missing
2020-04-15,WA,Total,Washington,8764494,10783,567,missing,missing
2020-04-15,WA,White,Washington,5130920,3396,378,missing,missing
2020-04-15,WI,AIAN,Wisconsin,60428,34,2,missing,missing
2020-04-15,WI,Asian,Wisconsin,175702,90,4,missing,missing
2020-04-15,WI,Black,Wisconsin,376256,916,71,missing,missing
2020-04-15,WI,Multiracial,Wisconsin,359534,missing,0,missing,missing
2020-04-15,WI,Other,Wisconsin,182054,98,0,missing,missing
2020-04-15,WI,Total,Wisconsin,6341008,3721,182,missing,missing
2020-04-15,WI,White,Wisconsin,4737545,1881,104,missing,missing
2020-04-19,AK,AIAN,Alaska,111575,14,2,missing,missing
2020-04-19,AK,Asian,Alaska,44032,33,2,missing,missing
2020-04-19,AK,Black,Alaska,21898,7,0,missing,missing
2020-04-19,AK,Multiracial,Alaska,89524,10,0,missing,missing
2020-04-19,AK,NHPI,Alaska,12698,4,1,missing,missing
2020-04-19,AK,Other,Alaska,18272,5,0,missing,missing
2020-04-19,AK,Total,Alaska,783215,319,9,missing,missing
2020-04-19,AK,White,Alaska,435392,167,2,missing,missing
2020-04-19,AL,Asian,Alabama,76660,45,5,missing,missing
2020-04-19,AL,Black,Alabama,1296162,1831,85,missing,missing
2020-04-19,AL,Other,Alabama,137443,102,missing,missing,missing
2020-04-19,AL,Total,Alabama,5288326,4903,160,missing,missing
2020-04-19,AL,White,Alabama,3220452,2300,66,missing,missing
2020-04-19,AR,AIAN,Arkansas,27177,5,missing,missing,missing
2020-04-19,AR,Asian,Arkansas,51839,23,missing,missing,missing
2020-04-19,AR,Black,Arkansas,453783,511,14,missing,missing
2020-04-19,AR,Multiracial,Arkansas,213575,7,missing,missing,missing
2020-04-19,AR,NHPI,Arkansas,14533,4,missing,missing,missing
2020-04-19,AR,Other,Arkansas,136105,54,missing,missing,missing
2020-04-19,AR,Total,Arkansas,3268371,1739,39,missing,missing
2020-04-19,AR,White,Arkansas,2114512,1049,23,missing,missing
2020-04-19,AZ,AIAN,Arizona,319512,337,18,missing,missing
2020-04-19,AZ,Asian,Arizona,257430,76,3,missing,missing
2020-04-19,AZ,Black,Arizona,339150,96,6,missing,missing
2020-04-19,AZ,Latinx,Arizona,2192253,478,32,missing,missing
2020-04-19,AZ,Other,Arizona,899870,45,missing,missing,missing
2020-04-19,AZ,Total,Arizona,9343755,4929,184,missing,missing
2020-04-19,AZ,White,Arizona,4322337,947,73,missing,missing
2020-04-19,CA,AIAN,California,631016,38,4,missing,missing
2020-04-19,CA,Asian,California,6085947,2522,154,missing,missing
2020-04-19,CA,Black,California,2237044,1358,115,missing,missing
2020-04-19,CA,Latinx,California,15579652,7567,298,missing,missing
2020-04-19,CA,Multiracial,California,5760235,388,9,missing,missing
2020-04-19,CA,NHPI,California,157263,38,9,missing,missing
2020-04-19,CA,Other,California,8370596,1552,9,missing,missing
2020-04-19,CA,Total,California,55117875,28963,1072,missing,missing
2020-04-19,CA,White,California,16296122,5821,347,missing,missing
2020-04-19,CO,AIAN,Colorado,74129,49,1,missing,missing
2020-04-19,CO,Asian,Colorado,199827,248,13,missing,missing
